StazPrelievo,StazDeposito,count,id_StazPrelievo,id_StazDeposito
Aeroporto,Aeroporto,3,0.0,15.0
Aeroporto,Borgo Stretto,65,0.0,16.0
Aeroporto,Comune Palazzo Blu,154,0.0,17.0
Aeroporto,Duomo,27,0.0,18.0
Aeroporto,Ospedale Cisanello,10,0.0,19.0
Aeroporto,Palacongressi,90,0.0,20.0
Aeroporto,Paparelli,13,0.0,21.0
Aeroporto,Pietrasantina,11,0.0,22.0
Aeroporto,Polo Marzotto,41,0.0,23.0
Aeroporto,Porta a Lucca,12,0.0,24.0
Aeroporto,Pratale,21,0.0,25.0
Aeroporto,Sms Biblioteca,7,0.0,26.0
Aeroporto,Stazione F.S.,132,0.0,27.0
Aeroporto,Teatro Tribunale,31,0.0,28.0
Aeroporto,Vittorio Emanuele,71,0.0,29.0
Borgo Stretto,Aeroporto,76,1.0,15.0
Borgo Stretto,Borgo Stretto,496,1.0,16.0
Borgo Stretto,Comune Palazzo Blu,600,1.0,17.0
Borgo Stretto,Duomo,1479,1.0,18.0
Borgo Stretto,Ospedale Cisanello,172,1.0,19.0
Borgo Stretto,Palacongressi,2237,1.0,20.0
Borgo Stretto,Paparelli,1583,1.0,21.0
Borgo Stretto,Pietrasantina,377,1.0,22.0
Borgo Stretto,Polo Marzotto,1686,1.0,23.0
Borgo Stretto,Porta a Lucca,1060,1.0,24.0
Borgo Stretto,Pratale,2474,1.0,25.0
Borgo Stretto,Sms Biblioteca,301,1.0,26.0
Borgo Stretto,Stazione F.S.,3474,1.0,27.0
Borgo Stretto,Teatro Tribunale,362,1.0,28.0
Borgo Stretto,Vittorio Emanuele,2537,1.0,29.0
Comune Palazzo Blu,Aeroporto,171,2.0,15.0
Comune Palazzo Blu,Borgo Stretto,526,2.0,16.0
Comune Palazzo Blu,Comune Palazzo Blu,230,2.0,17.0
Comune Palazzo Blu,Duomo,786,2.0,18.0
Comune Palazzo Blu,Ospedale Cisanello,59,2.0,19.0
Comune Palazzo Blu,Palacongressi,654,2.0,20.0
Comune Palazzo Blu,Paparelli,914,2.0,21.0
Comune Palazzo Blu,Pietrasantina,493,2.0,22.0
Comune Palazzo Blu,Polo Marzotto,930,2.0,23.0
Comune Palazzo Blu,Porta a Lucca,431,2.0,24.0
Comune Palazzo Blu,Pratale,801,2.0,25.0
Comune Palazzo Blu,Sms Biblioteca,256,2.0,26.0
Comune Palazzo Blu,Stazione F.S.,1662,2.0,27.0
Comune Palazzo Blu,Teatro Tribunale,192,2.0,28.0
Comune Palazzo Blu,Vittorio Emanuele,1054,2.0,29.0
Duomo,Aeroporto,29,3.0,15.0
Duomo,Borgo Stretto,1753,3.0,16.0
Duomo,Comune Palazzo Blu,768,3.0,17.0
Duomo,Duomo,165,3.0,18.0
Duomo,Ospedale Cisanello,96,3.0,19.0
Duomo,Palacongressi,630,3.0,20.0
Duomo,Paparelli,525,3.0,21.0
Duomo,Pietrasantina,1057,3.0,22.0
Duomo,Polo Marzotto,2873,3.0,23.0
Duomo,Porta a Lucca,404,3.0,24.0
Duomo,Pratale,2120,3.0,25.0
Duomo,Sms Biblioteca,78,3.0,26.0
Duomo,Stazione F.S.,1058,3.0,27.0
Duomo,Teatro Tribunale,489,3.0,28.0
Duomo,Vittorio Emanuele,1306,3.0,29.0
Ospedale Cisanello,Aeroporto,15,4.0,15.0
Ospedale Cisanello,Borgo Stretto,168,4.0,16.0
Ospedale Cisanello,Comune Palazzo Blu,50,4.0,17.0
Ospedale Cisanello,Duomo,124,4.0,18.0
Ospedale Cisanello,Ospedale Cisanello,26,4.0,19.0
Ospedale Cisanello,Palacongressi,332,4.0,20.0
Ospedale Cisanello,Paparelli,102,4.0,21.0
Ospedale Cisanello,Pietrasantina,12,4.0,22.0
Ospedale Cisanello,Polo Marzotto,64,4.0,23.0
Ospedale Cisanello,Porta a Lucca,43,4.0,24.0
Ospedale Cisanello,Pratale,202,4.0,25.0
Ospedale Cisanello,Sms Biblioteca,65,4.0,26.0
Ospedale Cisanello,Stazione F.S.,534,4.0,27.0
Ospedale Cisanello,Teatro Tribunale,74,4.0,28.0
Ospedale Cisanello,Vittorio Emanuele,187,4.0,29.0
Palacongressi,Aeroporto,82,5.0,15.0
Palacongressi,Borgo Stretto,2214,5.0,16.0
Palacongressi,Comune Palazzo Blu,864,5.0,17.0
Palacongressi,Duomo,921,5.0,18.0
Palacongressi,Ospedale Cisanello,406,5.0,19.0
Palacongressi,Palacongressi,314,5.0,20.0
Palacongressi,Paparelli,231,5.0,21.0
Palacongressi,Pietrasantina,45,5.0,22.0
Palacongressi,Polo Marzotto,1336,5.0,23.0
Palacongressi,Porta a Lucca,282,5.0,24.0
Palacongressi,Pratale,703,5.0,25.0
Palacongressi,Sms Biblioteca,466,5.0,26.0
Palacongressi,Stazione F.S.,3280,5.0,27.0
Palacongressi,Teatro Tribunale,818,5.0,28.0
Palacongressi,Vittorio Emanuele,1224,5.0,29.0
Paparelli,Aeroporto,18,6.0,15.0
Paparelli,Borgo Stretto,1970,6.0,16.0
Paparelli,Comune Palazzo Blu,837,6.0,17.0
Paparelli,Duomo,686,6.0,18.0
Paparelli,Ospedale Cisanello,91,6.0,19.0
Paparelli,Palacongressi,198,6.0,20.0
Paparelli,Paparelli,57,6.0,21.0
Paparelli,Pietrasantina,61,6.0,22.0
Paparelli,Polo Marzotto,1004,6.0,23.0
Paparelli,Porta a Lucca,82,6.0,24.0
Paparelli,Pratale,783,6.0,25.0
Paparelli,Sms Biblioteca,20,6.0,26.0
Paparelli,Stazione F.S.,391,6.0,27.0
Paparelli,Teatro Tribunale,514,6.0,28.0
Paparelli,Vittorio Emanuele,382,6.0,29.0
Pietrasantina,Aeroporto,29,7.0,15.0
