"recettore","lat","lon"
"R 1","0.000626091518405758","0.0008015939038958919"
"R 2","-0.0014118286772699662","-0.005943595351105557"
"R 3","-0.003249475375497468","-0.009244933914164477"
"R 4","-0.0012771977643240007","-0.005857430929497198"
"R 5","-0.006846417376685565","-0.010216119258787515"
"R 6","-0.01203553582268313","0.0012155822573163277"
"R 7","-0.01164873684248846","0.0011216930199982045"
"R 8","-0.01164873684248846","0.0011216930199982045"
"R 9","-7.204215541634085e-05","-0.003574979119459698"
"R 10","0.001437988201153928","-0.0013615037012630893"
"R 11","-0.001337324189776723","-0.005981902160705488"
"R 12","-0.004429577583387356","-0.008701398157542783"
"R 13","-0.005032364317507643","-0.009551032444514718"
"R 14","-0.004130166244827649","-0.010384341932304864"
"R 15","-0.0038958660514225585","-0.008417773497397363"
"R 16","-0.0012498012237074363","0.0017373573385039975"
"R 17","-0.0012507529915026794","0.001737336167671799"
"R 18","-0.0015969880172406192","0.0015494356826195599"
"R 19","0.00013660567299922377","-0.003144664868475644"
"R 20","-0.006515491928553274","-0.009857353865186269"
"R 21","-0.0012771977643240007","-0.005857430929497198"
"R 22","-0.000446427180904152","-0.0019144351410744775"
"R 23","-0.0012356850063284242","-0.0057394954599629955"
"R 24","-0.001217845632950798","-0.006370286358651001"
"R 25","0.00043507320168600927","0.0010284122748771551"
"R 26","-0.01217659013062189","-0.004869597412502813"
"R 27","0.0003825349074944029","0.0011672832042410874"
"R 28","-0.001101883057955888","0.001998143012142961"
"R 29","-0.0010430896706381532","-0.005858213810506996"
"R 30","-0.0056213215587987975","-0.010013970422491525"
"R 31","0.00013686399037737829","-0.003144659143144324"
"R 32","0.0005234831386786709","0.0008693326434716653"
"R 33","-0.0007894525041720613","-0.0018410743986976286"
"R 34","-0.0012003029059002301","0.0019494336501146847"
"R 35","-7.204215541634085e-05","-0.003574979119459698"
"R 36","-0.0055388432595222525","-0.009210980374112054"
"R 37","-0.0014160463575976223","-0.005932610563858631"
"R 38","-0.001043116476182604","-0.0058559210852653365"
"R 39","-0.001043116476182604","-0.0058559210852653365"
"R 40","-0.005934977056327284","-0.010391787875915881"
"R 41","-0.001023076695773284","-0.007281945259862255"
"R 42","-0.001217845632950798","-0.006370286358651001"
"R 43","-0.0013373899255029187","-0.005976279147946073"
"R 44","-0.0009556310901714937","-0.005609054603858965"
"R 45","-0.0053889804333664415","-0.00879495732897162"
"R 46","-0.0023742769625130222","0.00079507485183683"
"R 47","-0.001101966004391386","0.0019986906529716464"
"R 48","-0.0011999047450430567","0.001949547723947731"
"R 49","-0.0012003029059002301","0.0019494336501146847"
"R 50","-0.0012771977643240007","-0.005857430929497198"
"R 51","-0.0011000154081486357","-0.006037899099618826"
"R 52","-0.004828319336112941","-0.00854670735873242"
"R 53","-0.005094816883101316","-0.008660020543231894"
"R 54","-0.0010244508398145058","-0.0072816170116141166"
"R 55","-0.0027962264461081077","-0.0011187502501606161"
"R 56","0.00013660567299922377","-0.003144664868475644"
"R 57","-7.204215541634085e-05","-0.003574979119459698"
"R 58","-0.0055388432595222525","-0.009210980374112054"
"R 59","-0.0012771977643240007","-0.005857430929497198"
"R 60","-0.005317612882208778","-0.009518393820250992"
