"city","lat","lon"
"Bari","41.11666666666667","16.866666666666667"
"Bologna","44.48333333333333","11.333333333333336"
"Cagliari","39.21666666666667","9.116666666666667"
"Firenze","43.76666666666666","11.25"
"Genova","44.4","8.933333333333334"
"Milano","45.45","9.183333333333334"
"Napoli","40.85","14.25"
"Palermo","38.11666666666667","13.35"
"Perugia","43.1","12.383333333333333"
"Pisa","43.7","10.4"
"Reggio di Calabria","38.11666666666667","15.65"
"Roma","41.9","12.483333333333333"
"Torino","45.05","7.666666666666668"
"Trento","46.06666666666667","11.116666666666667"
"Trieste","45.63333333333333","13.766666666666667"
"Verona","45.43333333333333","10.983333333333333"
